### MNXref Version 18/02/2013 ###
#
#FILE:	reac_xref.tsv
#
#RESOURCE:	Rhea
#PREFIX:	rhea
#URL:	http://www.ebi.ac.uk/rhea/
#VERSION:	38
#LICENSE:	All data in Rhea is freely accessible and available for anyone to use. 
#	(http://www.ebi.ac.uk/rhea/about.xhtml) 
#
#RESOURCE:	KEGG
#PREFIX:	kegg
#URL:	http://www.kegg.jp
#VERSION:	11/02/2013
#LICENSE:	Academic users may freely use the KEGG website and may also freely link 
#	to the KEGG website. 
#	Non-academic users may use the KEGG website as end users for non-commercial purposes, 
#	but any other use requires a license agreement. 
#	Academic users who utilize KEGG for providing academic services are requested 
#	to obtain a KEGG FTP subscription for organizational use, which includes a proper 
#	license agreement. 
#	Non-academic users and Academic users intending to use KEGG for commercial purposes 
#	are requested to obtain a license agreement through KEGG's exclusive licensing 
#	agent, Pathway Solutions. 
#	(http://www.kegg.jp/kegg/legal.html) 
#
#RESOURCE:	MetaCyc
#PREFIX:	metacyc
#URL:	http://metacyc.org
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	UniPathway
#PREFIX:	upa
#URL:	http://www.unipathway.org
#VERSION:	UniPathway Release 2012_04
#LICENSE:	All data in UniPathway is freely accessible and available for anyone to 
#	use. 
#
#RESOURCE:	The Seed
#PREFIX:	seed
#URL:	http://www.theseed.org
#VERSION:	12/02/2013
#LICENSE:	All tools and datasets that make up the SEED are in the public domain. 
#	(http://www.theseed.org/wiki/DownloadPage) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#RESOURCE:	BioPath
#PREFIX:	biopath
#URL:	http://www.molecular-networks.com/biopath
#VERSION:	12/02/2013
#LICENSE:	Academic users may use BioPath without paying any license fee. 
#	Any users intending to use the BioPath database for commercial purposes have to 
#	obtain a license. 
#	(http://www.molecular-networks.com/node/2) 
#
#RESOURCE:	Reactome
#PREFIX:	reactome
#URL:	http://www.reactome.org
#VERSION:	12/02/2013
#LICENSE:	Reactome is a free and open-source project, and you are free to download 
#	Reactome software and data. 
#	 The contents of Reactome are copyright (c) 2003-2010 Cold Spring Harbor Laboratory 
#	(CSHL), Ontario Institute for Cancer Research (OICR) and the European Bioinformatics 
#	Institute (EBI). 
#	 The software and information contents are distributed under the terms of the 
#	Creative Commons Attribution 3.0 Unported License, which grants parties the non-exclusive 
#	right to use, distribute and create derivative works based on Reactome, provided 
#	that the software and information is correctly attributed to CSHL, OICR and EBI. 
#	(http://www.reactome.org/static_wordpress/license-agreement/) 
#
#RESOURCE:	BRENDA
#PREFIX:	brenda
#URL:	http://www.brenda-enzymes.org
#VERSION:	12/02/2013
#LICENSE:	Access to information contained in BRENDA is granted free of charge. 
#	Any inclusion of BRENDA components into other data bases, or redistribution of 
#	BRENDA requires a license 
#	(http://www.brenda-enzymes.org/information/copy.php4) 
#
#
#XREF	MNX_ID
bigg:10FTHF5GLUtl	MNXR1
bigg:10FTHF5GLUtm	MNXR1
bigg:10FTHF6GLUtl	MNXR2
bigg:10FTHF6GLUtm	MNXR2
bigg:10FTHF7GLUtl	MNXR3
bigg:10FTHF7GLUtm	MNXR3
bigg:10FTHFtl	MNXR4
bigg:10FTHFtm	MNXR4
bigg:11DOCRTSLtm	MNXR5
bigg:11DOCRTSLtr	MNXR5
bigg:11DOCRTSTRNtm	MNXR6
bigg:11DOCRTSTRNtr	MNXR6
bigg:12DGR120tipp	MNXR7
bigg:12DGR140tipp	MNXR8
bigg:12DGR141tipp	MNXR9
bigg:12DGR160tipp	MNXR10
bigg:12DGR161tipp	MNXR11
bigg:12DGR180tipp	MNXR12
bigg:12DGR181tipp	MNXR13
bigg:12PPDRtex	MNXR30423
bigg:12PPDRtpp	MNXR30423
bigg:12PPDStex	MNXR15
bigg:12PPDStpp	MNXR15
bigg:12PPDt	MNXR15
bigg:13BGH	MNXR30424
bigg:13BGHe	MNXR30424
bigg:13DAMPPOX	MNXR17
bigg:13GS	MNXR54902
bigg:14GLUCANabcpp	MNXR50738
bigg:14GLUCANtexi	MNXR30428
bigg:1MNCAMti	MNXR21
bigg:1PPDCRc	MNXR22
bigg:1PPDCRp	MNXR23
bigg:1a,24,25VITD2Hm	MNXR24
bigg:1a,24,25VITD3Hm	MNXR54903
bigg:1a,25VITD2Hm	MNXR26
bigg:1a,25VITD3Hm	MNXR54904
bigg:23CAMPtex	MNXR28
bigg:23CCMPtex	MNXR29
bigg:23CGMPtex	MNXR30
bigg:23CUMPtex	MNXR31
bigg:23DAPPAt2pp	MNXR32
bigg:23DAPPAtex	MNXR33
bigg:23PDE2pp	MNXR34
bigg:23PDE4pp	MNXR35
bigg:23PDE7pp	MNXR36
bigg:23PDE9pp	MNXR37
bigg:24,25DHVITD2t	MNXR38
bigg:24,25DHVITD2tm	MNXR38
bigg:24,25DHVITD3t	MNXR54905
bigg:24,25DHVITD3tm	MNXR54905
bigg:24,25VITD2Hm	MNXR40
bigg:24,25VITD3Hm	MNXR21899
bigg:24NPHte	MNXR54906
bigg:25HVITD2t	MNXR43
bigg:25HVITD2tin	MNXR43
bigg:25HVITD2tin-m	MNXR43
bigg:25HVITD2tm	MNXR43
bigg:25HVITD3t	MNXR44
bigg:25HVITD3tin	MNXR44
bigg:25HVITD3tin-m	MNXR44
bigg:25HVITD3tm	MNXR44
bigg:25VITD2Hm	MNXR45
bigg:25VITD3Hm	MNXR46
bigg:26DAHtex	MNXR47
bigg:2AGPA120tipp	MNXR48
bigg:2AGPA140tipp	MNXR49
bigg:2AGPA141tipp	MNXR50
bigg:2AGPA160tipp	MNXR51
bigg:2AGPA161tipp	MNXR52
bigg:2AGPA180tipp	MNXR53
bigg:2AGPA181tipp	MNXR54
bigg:2AGPE120tipp	MNXR55
bigg:2AGPE140tipp	MNXR56
bigg:2AGPE141tipp	MNXR57
bigg:2AGPE160tipp	MNXR58
bigg:2AGPE161tipp	MNXR59
bigg:2AGPE180tipp	MNXR60
bigg:2AGPE181tipp	MNXR61
bigg:2AGPEAT120	MNXR62
bigg:2AGPEAT140	MNXR63
bigg:2AGPEAT141	MNXR50741
bigg:2AGPEAT160	MNXR65
bigg:2AGPEAT161	MNXR66
bigg:2AGPEAT180	MNXR67
bigg:2AGPEAT181	MNXR68
bigg:2AGPG120tipp	MNXR69
bigg:2AGPG140tipp	MNXR70
bigg:2AGPG141tipp	MNXR71
bigg:2AGPG160tipp	MNXR72
bigg:2AGPG161tipp	MNXR73
bigg:2AGPG180tipp	MNXR74
bigg:2AGPG181tipp	MNXR75
bigg:2AGPGAT120	MNXR76
bigg:2AGPGAT140	MNXR77
bigg:2AGPGAT141	MNXR50742
bigg:2AGPGAT160	MNXR79
bigg:2AGPGAT161	MNXR80
bigg:2AGPGAT180	MNXR81
bigg:2AGPGAT181	MNXR82
bigg:2AMACHYD	MNXR83
bigg:2AMACSULT	MNXR84
bigg:2AMADPTm	MNXR85
bigg:2DDA7Ptm	MNXR86
bigg:2DGLCNRx	MNXR87
bigg:2DGLCNRy	MNXR88
bigg:2DGULRx	MNXR30447
bigg:2DGULRy	MNXR30448
bigg:2DHGLCK	MNXR91
bigg:2DHGLCNkt-tpp	MNXR92
bigg:2DHGLCNtex	MNXR93
bigg:2DHPtm	MNXR94
bigg:2DR1PP	MNXR50744
bigg:2HBO	MNXR96
bigg:2HBt2	MNXR97
bigg:2HCO3_NAt	MNXR30451
bigg:2MAHMP	MNXR54907
bigg:2MCITt	MNXR100
bigg:2MCITtm	MNXR100
bigg:2OHPH_5tn	MNXR101
bigg:2OMPH_5tm	MNXR102
bigg:2OMPH_5tn	MNXR102
