Compound	Name	Formula	Mass	KEGG maps	KEGG CID
cpd00001	OH-,<br>HO-,<br>Water,<br>H2O	H2O	18	<a href=&#39;javascript:addTab("00190","Oxidative phosphorylation","keggMapTabs","build_map","pathway=00190&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Oxidative phosphorylation</a><br><br><a href=&#39;javascript:addTab("00710","Carbon fixation in photosynthetic organisms","keggMapTabs","build_map","pathway=00710&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Carbon fixation in photosynthetic organisms</a><br><br><a href=&#39;javascript:addTab("00740","Riboflavin metabolism","keggMapTabs","build_map","pathway=00740&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Riboflavin metabolism</a><br><br><a href=&#39;javascript:addTab("05014","Amyotrophic lateral sclerosis (ALS)","keggMapTabs","build_map","pathway=05014&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Amyotrophic lateral sclerosis (ALS)</a><br><br><a href=&#39;javascript:addTab("00195","Photosynthesis","keggMapTabs","build_map","pathway=00195&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Photosynthesis</a>	C00001,C01328
cpd00002	Adenosine 5&#39;-triphosphate,<br>ATP	C10H13N5O13P3	504	<a href=&#39;javascript:addTab("05012","Parkinson&#39;s disease","keggMapTabs","build_map","pathway=05012&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Parkinson&#39;s disease</a><br><br><a href=&#39;javascript:addTab("04080","Neuroactive ligand-receptor interaction","keggMapTabs","build_map","pathway=04080&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Neuroactive ligand-receptor interaction</a><br><br><a href=&#39;javascript:addTab("04930","Type II diabetes mellitus","keggMapTabs","build_map","pathway=04930&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Type II diabetes mellitus</a><br><br><a href=&#39;javascript:addTab("00195","Photosynthesis","keggMapTabs","build_map","pathway=00195&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Photosynthesis</a><br><br><a href=&#39;javascript:addTab("00190","Oxidative phosphorylation","keggMapTabs","build_map","pathway=00190&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Oxidative phosphorylation</a><br><br><a href=&#39;javascript:addTab("00231","Puromycin biosynthesis","keggMapTabs","build_map","pathway=00231&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Puromycin biosynthesis</a><br><br><a href=&#39;javascript:addTab("00908","Zeatin biosynthesis","keggMapTabs","build_map","pathway=00908&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Zeatin biosynthesis</a><br><br><a href=&#39;javascript:addTab("00230","Purine metabolism","keggMapTabs","build_map","pathway=00230&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Purine metabolism</a><br><br><a href=&#39;javascript:addTab("04020","Calcium signaling pathway","keggMapTabs","build_map","pathway=04020&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Calcium signaling pathway</a>	C00002
cpd00003	Nicotinamideadeninedinucleotide,<br>Nadide,<br>Diphosphopyridine nucleotide,<br>DPN,<br>Nicotinamide adenine dinucleotide,<br>NAD,<br>NAD+	C21H26N7O14P2	662	<a href=&#39;javascript:addTab("00190","Oxidative phosphorylation","keggMapTabs","build_map","pathway=00190&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Oxidative phosphorylation</a><br><br><a href=&#39;javascript:addTab("00251","Glutamate metabolism","keggMapTabs","build_map","pathway=00251&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Glutamate metabolism</a><br><br><a href=&#39;javascript:addTab("00760","Nicotinate and nicotinamide metabolism","keggMapTabs","build_map","pathway=00760&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Nicotinate and nicotinamide metabolism</a>	C00003
cpd00004	Nicotinamideadeninedinucleotide-reduced,<br>Nicotinamide adenine dinucleotide - reduced,<br>DPNH,<br>NADH	C21H27N7O14P2	663	<a href=&#39;javascript:addTab("00190","Oxidative phosphorylation","keggMapTabs","build_map","pathway=00190&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Oxidative phosphorylation</a><br><br><a href=&#39;javascript:addTab("04020","Calcium signaling pathway","keggMapTabs","build_map","pathway=04020&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Calcium signaling pathway</a>	C00004
cpd00005	Nicotinamideadeninedinucleotidephosphate-reduced,<br>Nicotinamide adenine dinucleotide phosphate - reduced,<br>TPNH,<br>NADPH	C21H27N7O17P3	742	<a href=&#39;javascript:addTab("00480","Glutathione metabolism","keggMapTabs","build_map","pathway=00480&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Glutathione metabolism</a><br><br><a href=&#39;javascript:addTab("00195","Photosynthesis","keggMapTabs","build_map","pathway=00195&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Photosynthesis</a>	C00005
cpd00006	Nicotinamideadeninedinucleotidephosphate,<br>Nicotinamide adenine dinucleotide phosphate -,<br>Triphosphopyridine nucleotide,<br>TPN,<br>beta-Nicotinamide adenine dinucleotide phosphate,<br>Nicotinamide adenine dinucleotide phosphate,<br>NADP,<br>NADP+	C21H26N7O17P3	741	<a href=&#39;javascript:addTab("00480","Glutathione metabolism","keggMapTabs","build_map","pathway=00480&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Glutathione metabolism</a><br><br><a href=&#39;javascript:addTab("00760","Nicotinate and nicotinamide metabolism","keggMapTabs","build_map","pathway=00760&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Nicotinate and nicotinamide metabolism</a><br><br><a href=&#39;javascript:addTab("00195","Photosynthesis","keggMapTabs","build_map","pathway=00195&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Photosynthesis</a>	C00006
cpd00007	dioxygen,<br>O2,<br>Oxygen	O2	32	<a href=&#39;javascript:addTab("05211","Renal cell carcinoma","keggMapTabs","build_map","pathway=05211&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Renal cell carcinoma</a><br><br><a href=&#39;javascript:addTab("02020","Two-component system - General","keggMapTabs","build_map","pathway=02020&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Two-component system - General</a><br><br><a href=&#39;javascript:addTab("00190","Oxidative phosphorylation","keggMapTabs","build_map","pathway=00190&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Oxidative phosphorylation</a><br><br><a href=&#39;javascript:addTab("00740","Riboflavin metabolism","keggMapTabs","build_map","pathway=00740&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Riboflavin metabolism</a><br><br><a href=&#39;javascript:addTab("00195","Photosynthesis","keggMapTabs","build_map","pathway=00195&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Photosynthesis</a>	C00007
cpd00008	Adenosine 5&#39;-diphosphate,<br>ADP	C10H13N5O10P2	425	<a href=&#39;javascript:addTab("05012","Parkinson&#39;s disease","keggMapTabs","build_map","pathway=05012&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Parkinson&#39;s disease</a><br><br><a href=&#39;javascript:addTab("00190","Oxidative phosphorylation","keggMapTabs","build_map","pathway=00190&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Oxidative phosphorylation</a><br><br><a href=&#39;javascript:addTab("00908","Zeatin biosynthesis","keggMapTabs","build_map","pathway=00908&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Zeatin biosynthesis</a><br><br><a href=&#39;javascript:addTab("04080","Neuroactive ligand-receptor interaction","keggMapTabs","build_map","pathway=04080&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Neuroactive ligand-receptor interaction</a><br><br><a href=&#39;javascript:addTab("00230","Purine metabolism","keggMapTabs","build_map","pathway=00230&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Purine metabolism</a><br><br><a href=&#39;javascript:addTab("00195","Photosynthesis","keggMapTabs","build_map","pathway=00195&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Photosynthesis</a>	C00008
cpd00009	Orthophosphoric acid,<br>Phosphoric acid,<br>Phosphate,<br>Orthophosphate	HO4P	96	<a href=&#39;javascript:addTab("05012","Parkinson&#39;s disease","keggMapTabs","build_map","pathway=05012&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Parkinson&#39;s disease</a><br><br><a href=&#39;javascript:addTab("02020","Two-component system - General","keggMapTabs","build_map","pathway=02020&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Two-component system - General</a><br><br><a href=&#39;javascript:addTab("00190","Oxidative phosphorylation","keggMapTabs","build_map","pathway=00190&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Oxidative phosphorylation</a><br><br><a href=&#39;javascript:addTab("02010","ABC transporters - General","keggMapTabs","build_map","pathway=02010&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>ABC transporters - General</a><br><br><a href=&#39;javascript:addTab("00550","Peptidoglycan biosynthesis","keggMapTabs","build_map","pathway=00550&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Peptidoglycan biosynthesis</a><br><br><a href=&#39;javascript:addTab("04111","Cell cycle - yeast","keggMapTabs","build_map","pathway=04111&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Cell cycle - yeast</a><br><br><a href=&#39;javascript:addTab("00195","Photosynthesis","keggMapTabs","build_map","pathway=00195&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Photosynthesis</a>	C00009
cpd00010	CoenzymeA,<br>CoA-SH,<br>Coenzyme A,<br>CoA	C21H33N7O16P3S	764	<a href=&#39;javascript:addTab("00770","Pantothenate and CoA biosynthesis","keggMapTabs","build_map","pathway=00770&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Pantothenate and CoA biosynthesis</a><br><br><a href=&#39;javascript:addTab("00071","Fatty acid metabolism","keggMapTabs","build_map","pathway=00071&component=ModelMap|viewmap&mapInNewTab=keggMapTabs");tab_view_select(4,0)&#39;>Fatty acid metabolism</a>	C00010
